Student_ID,math_score,reading_score,writing_score,parental_level_of_education,lunch_plan,test_preparation_course,Gender,Year_Group
CC2F443C5C99,58,68,69,1,1,0,F,"Group A"
22E7A1158638,62,70,68,3,2,0,F,"Group A"
AE79A2647B1A,83,85,84,4,2,0,F,"Group A"
6E39B11464EC,84,93,87,3,2,0,F,"Group A"
2CA5D66C2B57,73,83,92,5,2,0,F,"Group A"
344AA8D3FA25,79,96,94,1,2,1,F,"Group A"
8436CBC3C15C,63,79,77,3,2,0,F,"Group A"
63188317312F,61,63,66,4,1,0,F,"Group A"
CBF82FFD35DE,61,57,58,1,1,1,F,"Group A"
B6EA96E03FF2,78,87,93,5,1,1,F,"Group A"
2FDB4F923A22,47,52,60,4,1,0,F,"Group A"
F2D1D7DBD65F,61,64,69,1,2,1,F,"Group A"
1032999DACF8,51,63,65,5,2,0,F,"Group A"
00E7C83E7D03,34,44,38,1,2,0,F,"Group A"
7286040E7974,75,75,76,2,2,0,F,"Group A"
451048AA3C25,54,63,63,2,1,0,F,"Group A"
0D2E9EB0A950,49,63,67,3,1,0,F,"Group A"
15C2005F8BE6,61,67,59,2,1,0,F,"Group A"
18E9521269A3,39,56,54,5,1,0,F,"Group A"
1F1950AD9E3C,50,70,64,3,2,1,F,"Group A"
434FE647F2B5,63,73,68,2,2,0,F,"Group A"
B56E329AAA43,51,67,70,1,1,1,F,"Group A"
AA8CD3D4EF3A,66,71,74,3,2,0,F,"Group A"
240766E80C3D,58,63,64,1,2,0,F,"Group A"
7854354FFC63,61,71,73,1,2,0,F,"Group A"
1272940F8AEF,31,30,35,3,2,0,F,"Group A"
5BFE009AF2B7,52,66,58,4,1,0,F,"Group A"
EA1892100CDF,75,72,72,3,2,0,F,"Group A"
7CDCD2A3CC30,58,64,54,1,2,0,F,"Group A"
5E330507B99D,47,52,52,3,1,0,F,"Group A"
97DA59B1F1C8,54,59,57,5,2,0,F,"Group A"
2096CE6C860C,75,92,84,4,1,0,F,"Group A"
57C7975F7905,67,73,72,4,2,0,F,"Group A"
75098DACE4FD,50,56,59,3,1,0,F,"Group A"
6CD0DF673D58,58,65,65,1,2,0,F,"Group A"
621B0AA39775,59,76,70,4,1,0,F,"Group A"
BB7035BF4ADA,70,75,74,3,2,1,F,"Group A"
F50EFA167C35,73,76,76,3,2,0,F,"Group A"
4948C2745C80,69,73,78,3,2,1,F,"Group A"
F368AD373F48,32,59,56,5,1,0,F,"Group A"
F1421799A6B3,73,81,79,5,1,1,F,"Group A"
4268FC1BBF04,38,47,45,1,1,1,F,"Group A"
9508878DBECD,32,34,28,2,2,0,M,"Group A"
26663929B9D5,41,40,32,2,1,0,M,"Group A"
2A5EA8897879,82,86,89,4,2,1,M,"Group A"
E8450AABFAE0,82,86,85,2,1,1,M,"Group A"
C123348C8D52,72,65,71,3,2,1,M,"Group A"
57789A1110EB,80,73,76,4,2,1,M,"Group A"
EDE430AD39D6,49,45,47,3,1,0,M,"Group A"
B8C8AA0F6A72,92,74,77,4,2,0,M,"Group A"
382B60906C52,58,53,53,6,2,0,M,"Group A"
C99E2A998253,69,65,63,1,2,0,M,"Group A"
ECFFA2F3516B,61,52,44,2,2,0,M,"Group A"
267964940168,59,65,60,3,1,0,M,"Group A"
37519D30A333,84,81,78,5,2,0,M,"Group A"
0A4DFCB22E3E,54,47,43,3,2,0,M,"Group A"
FB2C3926D4EF,63,57,57,3,2,0,M,"Group A"
2FF132E08CA3,77,66,62,1,2,0,M,"Group A"
A2F665623C4F,82,76,76,5,2,1,M,"Group A"
08E6DDE2B401,86,87,84,5,1,1,M,"Group A"
2F0C6D6AA452,49,39,30,4,1,0,M,"Group A"
5336CCAB317E,58,62,55,5,2,0,M,"Group A"
5DF8FAAFB299,71,64,63,3,2,0,M,"Group A"
6442CBCC4037,91,95,88,5,2,0,M,"Group A"
233208F4FE32,77,65,66,6,2,1,M,"Group A"
94BE06351E17,84,91,87,4,2,1,M,"Group A"
501A0C75823D,64,58,60,2,2,1,M,"Group A"
153D811E08FB,50,43,38,1,1,0,M,"Group A"
ECC06C13AD29,58,70,67,2,1,0,F,"Group B"
B0EEAAF4FAEF,70,67,67,2,2,0,F,"Group B"
16B945B4F6A3,79,93,87,5,2,0,F,"Group B"
71056FB2AD17,44,52,53,3,2,0,F,"Group B"
23EC1BD20ABE,78,87,82,3,2,1,F,"Group B"
589C6B138C1A,49,57,58,3,2,0,F,"Group B"
539B36A54321,99,100,100,5,2,1,F,"Group B"
338D452B1F05,32,41,40,3,2,0,F,"Group B"
BD9E59C0DC39,41,56,65,5,2,1,F,"Group B"
22DD464BA2AB,70,71,67,3,1,0,F,"Group B"
8F0644B7C78E,72,78,79,3,2,0,F,"Group B"
4AE08C879D70,47,47,43,3,2,0,F,"Group B"
C0FFC751B751,51,68,68,3,1,0,F,"Group B"
5C998F62377E,61,71,75,2,1,0,F,"Group B"
F70C456BED4E,67,72,78,3,2,1,F,"Group B"
92F0728236CC,68,73,75,3,2,1,F,"Group B"
16649925C023,67,86,82,3,2,1,F,"Group B"
66F1CCAB0182,75,76,76,3,2,0,F,"Group B"
0B93C820D727,59,63,66,4,2,1,F,"Group B"
CD1065DD9120,63,59,55,2,2,0,F,"Group B"
358CEF526D9E,65,85,82,5,1,0,F,"Group B"
885AFA4179F4,70,84,83,4,2,0,F,"Group B"
F3A66D61CE56,28,44,41,1,1,0,F,"Group B"
5F73E8A5C12D,50,51,50,2,1,0,F,"Group B"
1C12888E215A,72,72,78,6,2,1,F,"Group B"
AA7288A8359C,77,77,74,1,2,0,F,"Group B"
394A549666A0,59,68,64,3,2,0,F,"Group B"
7AF8D2A3201F,76,72,74,3,2,1,F,"Group B"
F62BA0EBE1F4,60,78,76,4,2,1,F,"Group B"
6EE9A7526F8F,74,73,77,5,2,1,F,"Group B"
38C241BD0FED,74,92,92,4,1,1,F,"Group B"
FF22577E45D8,96,99,90,4,2,0,F,"Group B"
9825D0BC400A,28,40,41,3,1,0,F,"Group B"
36F499DE4744,48,57,55,2,1,1,F,"Group B"
4473581D28E3,55,62,60,6,2,0,F,"Group B"
EBFF21605CC6,63,60,64,2,2,0,F,"Group B"
947C271E8FDC,90,100,100,5,2,1,F,"Group B"
48547B1FCFE0,45,49,45,1,2,0,F,"Group B"
C0D9D57CDFB5,55,81,87,5,2,1,F,"Group B"
9DBF6C7E95C5,59,75,72,3,2,0,F,"Group B"
550757E1C0B3,63,75,70,2,2,0,F,"Group B"
FE6802584ED3,73,74,73,2,2,0,F,"Group B"
685E2F3C546D,56,65,67,4,1,0,F,"Group B"
FBAC0A9BF036,57,79,72,4,2,0,F,"Group B"
CF98716BC4C6,61,69,72,3,2,1,F,"Group B"
2A8732C4F5C2,67,70,66,6,1,0,F,"Group B"
2E217CBBFD14,69,81,76,1,2,1,F,"Group B"
99658306486E,39,48,53,6,1,0,F,"Group B"
6470DBE6EB35,50,64,65,4,1,0,F,"Group B"
305E9F1AA67D,63,65,62,4,1,0,F,"Group B"
99610D179BB1,47,53,51,1,2,0,F,"Group B"
3767E44F3D48,79,85,89,3,2,1,F,"Group B"
BDE86DC495C6,42,53,48,2,1,1,F,"Group B"
1E4760172997,49,51,53,3,1,0,F,"Group B"
0AACB8FF24B4,46,58,53,1,2,0,F,"Group B"
A49C2A63E851,47,64,56,3,2,0,F,"Group B"
4A4F86CD223A,76,82,87,3,2,1,F,"Group B"
BACB506B8512,44,53,54,2,1,0,F,"Group B"
4F1D3DD077AD,65,62,62,3,2,0,F,"Group B"
6129D3AA7E7F,47,46,47,5,2,0,F,"Group B"
